name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Ma huang (raw Ephedra herb),t4,False,Cardiovascular death,40,2,1,2,5,2,1,"The raw herbal form of ephedra, which contains variable and unpredictable amounts of the stimulant ephedrine. FDA banned ephedra supplements in 2004 after linking them to 155 deaths including heart attacks, strokes, and seizures. The raw herb is even more dangerous than standardised extracts because you cannot control the dose. Still sold in some markets.",AVOID — 155+ deaths documented; FDA banned in 2004; unpredictable ephedrine content,Do not take this supplement.,
Astragaloside IV (isolated),t3,False,Telomere · Anti-aging · Immunity,40,1,4,1,1,1,5,"A purified compound from astragalus root promoted as a telomerase activator. Cell and animal studies show telomere-related effects, but no published human RCTs exist. The effective human dose is unknown. Extremely expensive with no clinical dose established. Short-term safety data is reassuring, but long-term human data is completely absent.",5–50 mg/day of isolated astragaloside IV; no established human clinical dose; very expensive,Take with food. No specific timing guidance due to lack of human trials. Avoid combining with immunosuppressants.,
Emodin,t3,False,Gut motility · Anti-inflammatory,40,1,3,1,3,3,3,"A naturally occurring anthraquinone found in rhubarb, aloe, and cascara with laxative and anti-inflammatory properties. Animal studies suggest benefits for gut inflammation and metabolic health, but human RCT evidence is essentially absent. Can cause diarrhoea, cramping, and electrolyte imbalances at higher doses. Long-term anthraquinone laxative use risks dependency and colonic changes.",20–50 mg/day emodin; use short-term only; laxative dependency risk with prolonged use,Take with food. Use short-term only (2–4 weeks). Drink plenty of water. Do not combine with stimulant laxatives.,
Coral calcium,t3,False,Bone · Alkaline claims,40,1,3,1,3,2,4,"Calcium from fossilised coral, marketed as superior and capable of alkalising the body. FTC and FDA took action against marketers for false cancer cure claims. No better absorbed than regular calcium carbonate. May contain trace minerals but also carries a risk of lead contamination. Cheaper, tested calcium sources are preferable.","500–1,000 mg/day as calcium; no better than standard calcium carbonate; contamination risk",Take with water or food. Separate from iron supplements by at least 2 hours — calcium blocks iron absorption. Evening dosing may support bone turnover.,
Garcinia cambogia (HCA),t3,False,Weight loss · Appetite,40,1,2,3,2,3,3,"The rind of Garcinia fruit contains hydroxycitric acid (HCA), which inhibits an enzyme involved in fat synthesis. Despite widespread marketing, the largest RCTs found minimal to no meaningful weight loss over placebo. A meta-analysis found only 0.88 kg more weight loss than placebo — clinically insignificant. FDA has warned about liver injury reports. Not recommended.","500–1,500 mg HCA three times daily before meals; minimal weight loss in clinical trials",Take 30–60 min before meals with a glass of water. Avoid combining with diabetes medications or statins. Stop if you notice any liver-related symptoms.,
Horsetail (Equisetum),t3,False,Hair · Nails · Silica,40,1,3,1,1,4,4,"A prehistoric plant and natural silica source marketed for hair, nails, and bones. One small RCT found improved nail brittleness after 6 months. Hair evidence is mostly anecdotal. Contains thiaminase, which destroys vitamin B1 — long-term use without B1 supplementation can cause deficiency. Not recommended for extended use without added B1.",300 mg/day standardised horsetail extract; supplement B1 if using long-term; limited evidence,Take with food and water. Take a B1 (thiamine) supplement separately if using longer than 4 weeks. Avoid if you have kidney problems.,
Black walnut hull,t3,False,Antimicrobial · Antiparasitic · Gut,40,1,3,1,3,3,3,"Contains juglone, a compound with antimicrobial and antiparasitic activity in lab studies. Popular in naturopathic antiparasitic protocols alongside wormwood and cloves, but no human clinical trial has validated this use. Juglone can be irritating to the digestive tract and may stain teeth. May interact with blood thinners and thyroid medications. Evidence is entirely traditional and preclinical. Not recommended without practitioner guidance.",No evidence-based dose established; typically 500 mg hull extract in traditional protocols; safety data limited,Take with food. Avoid with blood thinners or thyroid medications. Not recommended without practitioner guidance. Limit use to short courses only.,
Fadogia agrestis,t3,True,Testosterone · Libido · Athletic,39,2,2,1,2,2,3,A Nigerian shrub widely promoted by social media influencers as a testosterone booster. Only animal studies exist — no human trials have been published. Animal studies showed elevated testosterone but also dose-dependent testicular toxicity (shrinkage and damage). This safety concern has never been evaluated in humans. Using a supplement with zero human safety data is a genuine risk.,Not recommended — zero human clinical trials; animal studies show testicular toxicity; safety unestablished,Do not take this supplement.,
Fulvic acid,t3,False,Mineral absorption · Antioxidant · Gut,38,1,3,1,3,1,4,"A soil-derived substance marketed for improved mineral absorption and ""detox."" No human trial evidence supports any health benefit whatsoever. Comes with a documented risk of heavy metal contamination including lead, arsenic, and mercury. Product quality and purity vary enormously between brands. Save your money for supplements with actual evidence.",No evidence-based dose; quality and purity vary widely; contamination risk,"Avoid. If used, choose a third-party tested brand and never take with medications — it may alter absorption unpredictably.",
Diatomaceous earth (food grade),t3,False,Detox claims · Silica,38,1,3,1,3,1,4,"Marketed for ""detox"" and silica content, but no trial evidence supports any health benefit. Made from fossilized algae and used mainly as a pest control product. The food-grade form is generally considered safe to consume, but no therapeutic claims are supported by science. Your money is better spent on supplements with actual clinical evidence.",No evidence-based dose; no clinical benefit demonstrated,"No intake guidance applies — there is no evidence-based use for this supplement. Do not inhale the powder, as it can damage lungs.",
Licorice root high-dose,t4,False,Hypokalemia · Hypertension · Cardiac,38,2,1,2,3,3,1,"Contains glycyrrhizin, which blocks cortisol breakdown and causes your body to retain sodium and lose potassium. This can lead to dangerously high blood pressure, low potassium, and heart rhythm problems, even from amounts found in licorice candy. The DGL form (with glycyrrhizin removed) is much safer for stomach use.",AVOID >50 mg glycyrrhizin/day; DGL licorice (glycyrrhizin removed) is safer for stomach use,Do not take this supplement. The DGL form for stomach use should be taken 20 min before meals. Avoid all forms with glycyrrhizin.,
Borax (boron supplement form),t4,False,Joint · Hormone claims,38,1,2,1,3,4,3,"Sometimes promoted online as a cheap boron supplement for joint health and hormone balance. Borax is a cleaning product, not a dietary supplement, and is banned as a food additive in the US, EU, and Australia. The boron content is poorly controlled and high doses cause reproductive and kidney toxicity. Use boron glycinate instead if supplementing boron.",AVOID borax as a supplement; use boron glycinate (3–6 mg/day) for boron supplementation,Do not take this supplement.,
Pearl powder,t3,False,Skin · Calcium · Anti-aging claims,38,1,4,1,1,1,4,"Ground freshwater or seawater pearls used in traditional Chinese medicine for skin beauty and as a calcium source. Contains calcium carbonate, amino acids, and trace minerals. No human RCTs support anti-aging or skin beauty claims from oral use. Calcium content is real but far cheaper sources (calcium carbonate) provide identical benefit.","500–1,000 mg/day; no clinical evidence for beauty claims; expensive calcium source",Can be taken with water at any time. Calcium in pearl powder competes with iron — separate from iron supplements by 2 hours. Avoid with thyroid medications.,
Chrysin,t3,False,Aromatase inhibitor · Testosterone,38,1,3,1,2,3,3,"A flavonoid from passionflower and honey with aromatase-inhibiting activity in test tubes. However, oral bioavailability is extremely poor (~1%). Human studies show no meaningful effect on testosterone or estrogen at standard supplement doses. Marketing claims are not supported by clinical data. Not recommended as a testosterone booster.","500–2,000 mg/day; very poor oral bioavailability limits real-world effectiveness",Take with a fatty meal to maximise what little absorption there is. Timing is flexible. No significant drug interactions at standard doses.,
Calcium AEP (2-aminoethylphosphoric acid),t3,False,Cell membrane · Multiple sclerosis claims,38,1,3,1,2,2,4,A form of calcium promoted by one physician in the mid-20th century for multiple sclerosis and autoimmune conditions. Clinical evidence consists of uncontrolled case reports never replicated in RCTs. Mainstream neurology does not recognise it as an MS treatment. Generally safe at standard doses but unlikely to provide unique benefits.,"500–1,500 mg/day calcium AEP; no quality clinical evidence for MS or autoimmune claims",Take with food. No significant timing guidance. Avoid combining with calcium-binding medications.,
Clenbuterol (weight loss/muscle),t4,False,Cardiac toxicity · Banned substance · Veterinary drug,38,2,1,2,4,2,1,"A beta-2 agonist veterinary drug illegally used for weight loss and muscle preservation. NOT approved for human use in any country as a supplement. Causes dangerous cardiac arrhythmias, tachycardia, hypokalaemia, and cardiac hypertrophy. Multiple deaths documented from bodybuilding use. Banned by WADA and FDA. Contaminated meat from clenbuterol-treated livestock has caused mass poisonings. Extremely dangerous.","AVOID — not approved for human use; causes cardiac arrhythmias, hypokalaemia, and death",Do not take this substance. It is a veterinary drug not approved for humans. Cardiac toxicity including fatal arrhythmias documented at commonly used doses. Banned in competitive sports.,
Peptide secretagogues (GHRP/ipamorelin),t4,False,Unapproved peptide · Banned by WADA · GH secretion · Cancer risk · Injection,38,2,1,2,4,2,1,"Synthetic peptide compounds including GHRP-2, GHRP-6, ipamorelin, CJC-1295 (non-DAC), and hexarelin that stimulate pituitary growth hormone release. Not approved for human use — sold online as ""research peptides"" and used illicitly in performance sports and anti-aging clinics. Side effects include insulin resistance (GH impairs glucose uptake), carpal tunnel syndrome, joint swelling, water retention, and theoretical cancer promotion (GH and IGF-1 are growth factors for most cancers). Banned by WADA and most sports organisations. Sermorelin is the only growth hormone secretagogue approved for medical use (prescription-only, for GH deficiency).","AVOID self-administration — GHRP-2, GHRP-6, ipamorelin, and CJC-1295 are unapproved drugs in all jurisdictions; only sermorelin is approved, by prescription only",Do not self-inject growth hormone secretagogues. These are not legal supplements. Compounding pharmacies operating in regulatory grey areas do not make these products safe. Genuine GH deficiency requires endocrinologist diagnosis. Performance use is banned in all sanctioned sports.,
Pau d'arco (Tabebuia impetiginosa),t4,True,Traditional · Antimicrobial · Antifungal,38,1,2,1,3,4,3,"The inner bark of a South American tree (Tabebuia/Handroanthus) containing naphthoquinones (lapachol, beta-lapachone) with documented in-vitro antifungal, antibacterial, and anticancer activity. Traditional use for candidiasis, skin infections, and various malignancies. Human clinical trials are limited, and high-dose lapachol caused anticoagulation and nausea in 1970s NCI oncology trials. Safety at typical supplemental doses is probably acceptable but monitoring is prudent. Use short-term only.",500 mg bark extract 2–3 times daily for max 1–2 weeks,"Avoid with anticoagulants, in pregnancy, and long-term; use only standardised products from reputable suppliers; seek medical supervision if using for persistent infection",
Resveratrol,t3,False,Anti-aging / Cardiovascular,37,1,3,2,1,1,4,"One of the most hyped supplements of the past two decades, but resveratrol has failed to deliver in human trials. Only about 1% of the oral dose reaches the bloodstream, and even at higher doses no consistent clinical benefits have been found. Red wine provides tiny amounts with no proven benefit at those levels. The excitement came from animal studies that simply did not translate to humans.",No evidence-based dose — consistent null results in human trials; absorption problem makes standard doses ineffective,No established intake guidance — human trials have consistently shown no benefit. Evidence does not support use as a supplement.,
Pterostilbene,t3,False,Antioxidant · Anti-aging / Longevity,37,1,3,2,1,1,4,"Related to resveratrol but far better absorbed (about 80% vs. 1%), which makes it more promising as an antioxidant supplement. Despite this absorption advantage, human trial evidence remains sparse with very few clinical studies completed. NCCIH says there is insufficient evidence to recommend it for any specific condition. Long-term safety data is limited.",50–250 mg/day (no established optimal dose; limited human safety data beyond 3 months),"Take with food or water at any time of day. No established drug interactions, but safety data beyond 3 months is limited. Consider periodic breaks in use.",
DMAA/DMHA novel stimulant pre-workouts,t4,False,Cardiovascular risk · Seizures,37,2,1,1,5,2,1,"Dangerous stimulants that have caused deaths and serious cardiovascular events. FDA banned DMAA in 2013 after deaths linked to it, but similar compounds keep showing up in pre-workout products without being listed on the label. Can cause heart attacks, seizures, and dangerous blood pressure spikes. Only use products with NSF Certified for Sport verification.",AVOID — check NSF Certified for Sport or Informed Sport certification,Do not take this supplement.,
Wormwood high-dose (Artemisia absinthium),t4,False,Neurotoxicity · Thujone,37,2,1,1,4,3,1,"Contains thujone, a compound that causes seizures, kidney failure, and brain damage at high doses. Low-dose wormwood is used short-term in some traditional protocols, but high-dose or long-term use is genuinely dangerous. The neurotoxic effects of thujone are well documented. Never exceed recommended doses or use for more than 4 weeks without supervision.","AVOID high doses; if used short-term, max 3 mg thujone/day for 4 weeks under supervision",Do not take this supplement.,
Detox supplements,t3,False,Detoxification claims,36,1,3,1,3,1,3,"No clinical trial evidence supports ""detox"" benefits in healthy people. European food safety authorities rejected every detox health claim submitted by supplement manufacturers. Your liver, kidneys, and lymphatic system already detoxify your body continuously and are not enhanced by supplements. The idea of ""cleansing"" your system with pills has no scientific basis.",No evidence-based dose — do not use; save your money for evidence-based supplements,"Do not take this supplement. No clinical evidence supports detox claims, and no health authority endorses it.",
Kratom (Mitragyna speciosa),t4,False,Opioid-like dependency,36,2,1,2,4,1,1,"Activates the same brain receptors as heroin and prescription opioids. FDA linked kratom to 36 deaths and has attempted to ban it multiple times. Causes physical dependence within weeks and produces full opioid withdrawal on stopping — vomiting, muscle cramps, insomnia, and severe anxiety. Despite being sold as a ""natural"" pain reliever, it is essentially an unregulated opioid.",AVOID — FDA-linked to 36 deaths; causes opioid dependence and withdrawal,Do not take this supplement.,
Sea moss (Irish moss),t3,True,Thyroid · Minerals · Gut,36,1,3,1,3,1,3,"Heavily promoted on social media but lacks any clinical trial evidence. Iodine content varies enormously — some products deliver over 10 times the safe upper limit per serving, causing thyroid dysfunction or hyperthyroidism. People with thyroid disease are at particular risk. The trendy gel form is just seaweed with no proven benefit over any other food source.",No evidence-based dose; iodine content is dangerously unpredictable; test thyroid function before any use,"Avoid if you have thyroid disease. If you choose to use it, test thyroid function first and do not take alongside iodine or thyroid medications.",
Zeolite (clinoptilolite),t3,False,Detox claims · Heavy metals,36,1,3,1,3,1,3,"A volcanic mineral marketed for ""detoxification,"" but no human trial evidence supports the claim that it removes heavy metals or toxins from your body. May actually bind and deplete beneficial minerals you need. Product quality and contamination risk vary widely between brands. Not recommended as a supplement by any health authority.",No evidence-based dose; not recommended as a supplement,"Avoid as a supplement. If used, separate from all medications and other supplements — may bind and block their absorption.",
Chaga (Inonotus obliquus),t3,False,Antioxidant · Immunity · Anti-tumor,36,1,3,1,2,2,3,"A birch tree fungus with extremely high antioxidant activity in lab tests, but no human trials support any health claim. All anticancer evidence is from cell and animal studies, not human research. High oxalate content may increase kidney stone risk, especially in people with chronic kidney disease. Hot water extraction is needed to release active compounds.",1–3 g/day hot water extract; kidney stone risk from oxalates — avoid with CKD,Use only hot water extracted form. Take with plenty of water. Avoid if you have kidney disease or a history of oxalate kidney stones — high oxalate content.,
Bentonite clay (oral),t3,False,Detox claims · GI binder,36,1,3,1,3,1,3,"Marketed for ""detox"" and gut health, but no human trial evidence supports any health benefits. May bind medications, nutrients, and essential minerals in your digestive tract, reducing their absorption. FDA has warned about lead contamination in some commercial products. Not recommended as a dietary supplement by any major health authority.",No evidence-based dose; may interfere with medication absorption; contamination risk,"Avoid. If used, take well away from all medications and supplements as it binds them and blocks absorption. Check for lead contamination on the label.",
Vanadium,t3,False,Insulin mimetic · Glucose metabolism,36,1,2,1,2,4,3,"A trace element that mimics insulin in cell studies and may improve glucose uptake in muscle cells. However, human trials are small and short-term, and higher doses can cause stomach upset and potential kidney toxicity. Evidence is too weak to recommend for blood sugar management. Not recognized as an essential nutrient by most authorities.",10–50 mcg/day as vanadyl sulfate; evidence too weak for general recommendation,"If used, take with food to reduce stomach irritation. Avoid combining with diabetes medications — may lower blood sugar excessively. Evidence is too weak to recommend.",
Black cohosh high-dose,t4,False,Liver damage · Menopause,36,2,1,2,2,2,2,"At standard doses of 20 to 40 mg per day, black cohosh may modestly relieve hot flashes. However, high doses above 160 mg per day and prolonged use have been linked to rare but serious liver injury, including cases requiring liver transplant. If you use the standard dose form, liver function monitoring is recommended during treatment.",AVOID high doses (>160 mg/day) or prolonged use; standard dose 20–40 mg/day requires liver monitoring,Do not take this supplement.,
Blue-green algae (AFA),t3,False,Cognition · Energy claims,36,1,2,1,3,2,4,Aphanizomenon flos-aquae is a cyanobacteria harvested from lakes and sold as a superfood. Marketing claims about brain health and energy lack clinical evidence. Wild-harvested products carry a real risk of microcystin contamination — potent liver toxins that vary by lake and season. Several poisoning incidents have been reported. Not recommended unless from rigorously tested sources.,No evidence-based dose; microcystin contamination risk from wild-harvested sources,"If taken, use only products tested for microcystins by a third party. Avoid if you have liver problems or are pregnant.",
Colloidal minerals,t3,False,Mineral absorption claims,36,1,2,1,3,2,4,"Liquid mineral products sourced from ancient plant deposits or clay, marketed as being more absorbable than standard mineral supplements. No clinical evidence supports superior absorption or any health benefit. Mineral content and purity vary widely between products. Some products have tested positive for heavy metal contamination (lead, aluminium). Not recommended.",No evidence-based dose; unregulated content; contamination risk from unverified sources,"If taken, use only third-party tested products. No specific timing guidance. Check for heavy metal testing on the label.",
Thunder god vine (Tripterygium wilfordii),t4,False,Immunosuppression · Infertility · Organ damage,36,2,1,2,3,2,1,"A Chinese herb used in hospitals for rheumatoid arthritis with genuine anti-inflammatory effects. However, therapeutic and toxic doses are dangerously close. Causes infertility, severe diarrhoea, liver damage, bone marrow suppression, and death. Incorrect preparation of root parts is fatal.",AVOID as a self-administered supplement — narrow therapeutic window; causes infertility and organ damage,Do not take this supplement.,
Black ant extract (Polyrhachis),t3,False,TCM tonic · Zinc source · Traditional,36,1,3,1,2,2,3,"Used in TCM as a kidney-tonifying and Qi-strengthening food medicine for over 2,000 years. Polyrhachis ants are naturally high in zinc, protein, and ecdysteroids. No human clinical trials exist. Traditional claims include increased strength, immunity, and vitality. Quality control and species identification are significant concerns in commercial products. Novel food status is unclear in most Western countries.",No established clinical dose; traditional use: 1–3 g/day powdered or extracted; no human trial data,No clinical evidence exists for any health claims. Species identification and quality control are major concerns — ensure products identify the exact species used. Novel food regulatory status varies by country.,
"Andarine (S-4, SARM)",t4,False,Vision damage · Liver toxicity · Banned substance,36,2,1,2,3,2,1,A selective androgen receptor modulator (SARM) sold illegally as a muscle-building supplement. Causes a characteristic yellow-tinted vision disturbance due to binding to retinal receptors — this can persist for weeks after stopping. Also causes liver enzyme elevation and hormonal suppression. Banned by WADA. No SARM has completed full clinical development or FDA approval. Quality of online products is extremely poor.,"AVOID — causes vision damage, liver toxicity, and hormonal suppression; banned by WADA; not approved anywhere","Do not take SARMs. No SARM is approved for human use. Vision damage from andarine can persist for weeks. Online products frequently contain wrong doses or different compounds entirely. Use legal, evidence-based alternatives.",
"Ostarine (MK-2866/Enobosarm, SARM)",t4,False,Liver damage · Hormonal suppression · Banned,36,2,1,2,3,2,1,"The most commonly sold SARM, marketed for muscle growth and fat loss. Failed to meet endpoints in phase III clinical trials for muscle wasting. Causes dose-dependent testosterone suppression, liver enzyme elevation, and lipid disruption. Banned by WADA and found as an undeclared adulterant in many ""legal"" supplements. FDA has issued multiple warning letters to companies selling ostarine.",AVOID — failed clinical development; causes hormonal suppression and liver damage; banned by WADA,Do not take ostarine or any SARM. Clinical trials failed to show adequate benefit-risk ratio. Hormonal suppression occurs even at low doses. Products sold online frequently contain wrong doses or contaminants.,
Ephedra analogues (synephrine),t4,False,Cardiovascular risk,35,2,1,1,4,2,1,"Case reports have linked bitter orange / synephrine products to heart attack, stroke, and arrhythmia, particularly when stacked with caffeine or other stimulants. Evidence for isolated low-dose synephrine is more mixed, but the parent compound ephedra was banned by the FDA in 2004 after 155 deaths and similar risks apply to stimulant-heavy pre-workouts. Especially dangerous when combined with caffeine or during intense exercise.",AVOID — especially combined with caffeine and exercise,Do not take this supplement.,
Phenibut,t4,False,GABAergic · Dependence · Withdrawal,35,2,1,1,4,2,1,"A synthetic drug developed in the Soviet Union that creates strong calming and euphoric effects by acting on GABA receptors. Physical dependence can develop in as little as 3 to 5 days of daily use. Withdrawal is severe and can be life-threatening, mimicking benzodiazepine withdrawal with seizure risk requiring hospitalisation. Not approved as a supplement anywhere in the US, EU, or Australia.",AVOID entirely — physical dependence within days; life-threatening withdrawal; not approved anywhere as a supplement,Do not take this supplement.,
"2,4-Dinitrophenol (DNP)",t4,False,Lethal thermogenesis · Weight loss · No safe dose,35,1,1,2,5,3,1,"An industrial chemical that uncouples oxidative phosphorylation, dramatically increasing metabolic rate and body temperature. There is NO safe dose margin — the lethal dose overlaps with the ""effective"" dose. Death occurs from uncontrollable hyperthermia when body temperature exceeds 40 degrees. Over 60 deaths documented in the literature. No antidote exists. FDA banned it in 1938 after multiple deaths.",NO SAFE DOSE — lethal and effective doses overlap; banned by FDA since 1938; over 60 documented deaths,Do not take this substance under any circumstances. There is no antidote for DNP poisoning. Death from hyperthermia is agonising and untreatable. Still sold illegally online as a weight loss aid.,
Humic acid,t4,False,Mineral transport · Detox claims · Gut,34,1,2,1,3,1,4,"A soil-derived compound sold alongside fulvic acid and marketed for gut health and mineral absorption. No human trial evidence supports any health claim. Heavy metal contamination (arsenic, lead) is a documented risk. Not recognized as safe or effective by any major health authority. Not recommended.",No evidence-based dose; contamination risk; not recommended,Do not take this supplement.,
Colloidal gold,t4,False,No evidence · Pseudoscience,34,1,2,1,3,1,4,"No known mechanism of action, no trial evidence, and gold has no biological role in the human body whatsoever. FDA does not recognize it as safe or effective for any medical purpose. Sometimes marketed with pseudoscientific claims about ""cellular energy"" or ""detox."" There is no reason to consume gold as a supplement. Save your money entirely.",AVOID — no evidence of benefit; unknown long-term safety,Do not take this supplement.,
Deer antler velvet,t3,False,IGF-1 · Athletic claims,34,1,3,1,2,1,3,"Harvested from the soft cartilage of growing deer antlers and marketed for athletic performance and IGF-1 boosting. Multiple controlled trials found no significant improvement in strength, endurance, or testosterone levels in healthy adults. The IGF-1 content in supplements is too low to meaningfully affect blood levels. Not recommended for athletic use.","500–1,500 mg/day; no meaningful performance benefit demonstrated in controlled trials",Take with food or water. No specific timing guidance. No significant drug interactions at standard doses.,
Noni juice (Morinda citrifolia),t3,False,Immunity · Antioxidant claims,34,1,2,1,2,2,4,"A tropical fruit juice marketed with broad health claims. Most studies are small, poorly designed, or industry-funded. Antioxidant content exists but is not exceptional compared to common fruits. Several cases of hepatotoxicity have been reported in Europe (causality debated). Contains vitamin K which can interact with blood thinners. Not recommended over evidence-based alternatives.",30–60 mL/day noni juice; limited clinical evidence; liver toxicity cases reported,Take with food. Avoid if on blood thinners (contains vitamin K). Do not exceed recommended amounts — liver toxicity cases have been reported at high doses.,
"Palmitoyl tripeptide-1 (matrixyl, oral)",t3,False,Skin anti-aging · Collagen · Peptide,34,1,3,1,2,1,3,A synthetic peptide with proven topical anti-wrinkle effects (marketed as Matrixyl). Oral forms are being sold as anti-aging supplements but have zero evidence for oral bioavailability — peptides are digested in the stomach. Topical use is well-supported by dermatology research. Oral supplements are likely ineffective since the peptide would be broken down before reaching the skin.,Topical: proven effective in creams at 3–5%; oral supplements: no evidence of bioavailability — likely ineffective,Topical Matrixyl in skincare products is well-evidenced. Oral peptide supplements are almost certainly destroyed in the GI tract and are not recommended. Save money by using topical formulations instead.,
Diuretic supplements (herbal water pills),t4,False,Electrolyte depletion · Dehydration · Kidney damage,34,1,2,1,4,3,1,"Herbal diuretic supplements marketed for ""water weight"" loss and ""detox"" containing dandelion, horsetail, uva ursi, or juniper. While individually mild, concentrated formulas can cause dangerous potassium depletion, dehydration, and kidney injury — especially combined with prescription diuretics or in hot weather. The weight lost is water, not fat, and returns immediately. Some products contain undeclared pharmaceutical diuretics.",AVOID concentrated herbal diuretic formulas; individual herbs in food amounts are safe; watch for hidden pharmaceutical diuretics,"Weight lost from diuretics is water, not fat, and returns immediately. Concentrated formulas can cause dangerous electrolyte depletion. Never combine with prescription diuretics. Some products contain hidden pharmaceutical diuretics — check the FDA tainted supplements database.",
Soursop / Graviola leaf (Annona muricata),t4,True,Traditional · Antioxidant · Potential neurotoxicity,34,1,1,1,3,4,3,"Caribbean and South American tree leaves traditionally used for cancer, parasites, and blood pressure. Contains annonaceous acetogenins — potent mitochondrial Complex I inhibitors with documented cytotoxicity to cancer cells in vitro. However, chronic intake is epidemiologically linked to atypical parkinsonism in Guadeloupe and New Caledonia, where soursop/graviola is consumed regularly. Human efficacy for cancer is unproven while the neurotoxicity signal is concerning. Use very cautiously and short-term only.",No safe dose established; traditional infusions use 1–2 g leaf occasionally,"Significant parkinsonism risk with chronic use — avoid regular or long-term intake; do not use if neurological disease present; informational listing, not a general recommendation",
"Tianeptine (""gas station heroin"")",t4,False,Opioid-like dependency,33,2,1,1,4,1,1,"Extremely dangerous. Acts on the same brain receptors as opioids at supplement doses. Causes rapid physical dependence and opioid-like withdrawal symptoms that can require medical treatment. Not approved as a supplement in the US or EU. Often sold online as a ""dietary supplement"" or ""nootropic"" to circumvent regulations. Avoid entirely.",AVOID entirely,Do not take this supplement.,
Yohimbe bark (Pausinystalia yohimbe),t4,False,Cardiac arrhythmia · Hypertensive crisis,33,2,1,1,4,1,1,"Yohimbine, the active compound in yohimbe bark, is a potent stimulant with a narrow safety window. Multiple reports of dangerous blood pressure spikes, heart attacks, and seizures are linked to bark supplements. FDA warns yohimbine content varies by up to 10-fold between products, making dosing unpredictable and dangerous. Prescription yohimbine HCl is the only regulated option.",AVOID supplement-form yohimbe bark entirely — unpredictable dosing causes cardiac emergencies; prescription yohimbine HCl only under medical supervision,Do not take this supplement.,
"DNP (2,4-Dinitrophenol)",t4,False,Fatal hyperthermia · Metabolic uncoupling,33,2,1,1,4,1,1,"An industrial chemical used in explosives and dyes that causes weight loss by uncoupling mitochondrial oxidative phosphorylation — releasing the energy from metabolism as heat and raising core body temperature to lethal levels. Implicated in roughly 1 to 2 deaths per year in the UK alone from hyperthermia. There is no safe dose, no antidote, and death can occur within hours of taking too much. Sold illegally online for weight loss. The UK classified it as a poison in 2023 after multiple deaths.",AVOID — no safe dose; no antidote; causes fatal hyperthermia within hours of overdose,Do not take this supplement.,
Khat (Catha edulis),t4,False,Stimulant · Addiction · Cardiovascular,33,2,1,1,4,1,1,"Contains cathinone, a Schedule I controlled substance similar to amphetamine. Causes euphoria and energy followed by depression, irritability, and craving. Regular use causes dependence, psychosis, cardiovascular damage, and liver toxicity. Classified as a controlled substance in most Western countries.","AVOID — contains controlled substance cathinone; causes dependence, psychosis, and cardiovascular damage",Do not take this supplement.,
Melanotan II (tanning peptide),t4,False,Illegal peptide · Melanoma risk · Priapism · Cardiovascular · Banned,33,1,1,2,5,2,1,"A synthetic melanocortin receptor agonist developed for skin tanning and erectile dysfunction, abandoned by pharmaceutical development due to unacceptable adverse effects. Case reports document melanocytic lesion transformation to melanoma following Melanotan II use, with three separate cases published 2023–2024. Other effects include uncontrollable hyperpigmentation, spontaneous prolonged erections (priapism), nausea, facial flushing, and elevated blood pressure. Never received regulatory approval in any jurisdiction worldwide. Sold illegally online as ""research chemicals."" The desire for a tan is not worth an increased melanoma risk.","AVOID — never approved for human use; associated with melanoma transformation, priapism, and cardiovascular side effects. No safe dose established.","Do not inject or use Melanotan II or MT-2. Multiple documented melanoma transformation cases. No approved dose or protocol exists. If you want a tan, self-tanning creams carry no melanoma risk. Inform your dermatologist if you have previously used this compound — mole surveillance is warranted.",
"High-dose fat-soluble vitamins (A, E)",t4,False,Excess toxicity,32,1,1,3,3,2,1,"Unlike water-soluble vitamins you excrete, vitamins A, D, E, and K accumulate in body fat and the liver. Cochrane found vitamin E above 400 IU per day increases all-cause death risk. NIH warns vitamin A above 10,000 IU per day causes liver damage and severe birth defects in pregnancy. Mega-dose supplements sold online can easily push you past these limits without you realising.","Safe upper limits: Vitamin A ≤3,000 mcg RAE/day; Vitamin E ≤400 IU/day; never exceed without medical supervision",Do not take this supplement.,
"Essential oils (oral, general)",t4,False,Various claims · Safety concerns,32,1,2,1,4,1,2,"Only enteric-coated peppermint oil has clinical evidence for a health benefit, specifically for IBS symptoms. All other oral essential oils lack trial evidence and carry real risks of stomach irritation, liver damage, and drug interactions. Taking undiluted essential oils by mouth can burn your esophagus and stomach lining. Avoid oral ingestion.",Only enteric-coated peppermint oil has evidence; avoid oral ingestion of other essential oils,Do not take this supplement. Only enteric-coated peppermint oil capsules have evidence for IBS — take with water and food as directed on the label.,
Graviola (Annona muricata),t4,False,Cancer claims · Neurotoxicity risk,32,1,2,1,2,2,3,"A tropical fruit (soursop) aggressively marketed as a cancer cure. Lab studies show compounds can kill cancer cells in vitro, but no human trials exist. Contains annonacin, a neurotoxin linked to atypical Parkinson disease in populations with regular consumption. Cancer cure claims are fraudulent and dangerous when they delay proven treatment.",AVOID for cancer treatment; neurotoxin risk with regular use; no human clinical evidence,Do not take this supplement.,
